cuentaId,numeroCuenta,tipoCuenta,saldo,fechaApertura,moneda,activa,limiteCredito,numeroPrestamos,bancosAsociados
CU-0023,49238480,ahorro,177033.28,2022-03-11,GTQ,true,41773.87,1,HSBC|Banrural
CU-0024,78910441,monetaria,491009.21,2001-01-19,GTQ,true,5201.11,1,HSBC|G&T Continental|Industrial
CU-0025,68109521,monetaria,19748.1,2020-07-19,USD,true,3137.38,4,BAC
CU-0026,50629111,credito,99421.02,2021-02-01,GTQ,false,67190.39,5,Citibank|G&T Continental
CU-0027,78797888,credito,203301.12,2015-05-07,GTQ,true,26158.79,1,HSBC|G&T Continental
CU-0028,21181158,credito,459347.45,2003-10-21,USD,true,86147.91,0,G&T Continental
CU-0029,24367955,corriente,36744.52,2016-09-30,GTQ,true,23694.53,0,BAC
CU-0030,11804855,monetaria,435014.88,2003-02-27,GTQ,true,87134.94,3,Citibank|Banistmo|Davivienda
CU-0031,24204629,ahorro,27611.29,2006-03-22,GTQ,true,8115.56,0,Banrural|BAC|Industrial
CU-0032,41282897,corriente,24524.32,2003-07-25,GTQ,true,19263.86,1,Davivienda|HSBC|Citibank
CU-0033,34973205,credito,143675.78,2002-09-30,GTQ,true,7955.83,1,G&T Continental|HSBC
CU-0034,87233454,corriente,349833.49,2003-05-26,GTQ,true,75628.62,1,Banistmo
CU-0035,95268109,monetaria,300577.76,2022-09-23,USD,true,25094.98,2,Industrial|HSBC|BAC
CU-0036,97891427,monetaria,140365.29,2007-03-27,GTQ,false,34422.33,5,Banistmo
CU-0037,20730923,credito,5505.47,2003-12-16,GTQ,true,91447.67,5,Banrural|HSBC|G&T Continental
CU-0038,52824042,credito,178735.32,2021-07-20,GTQ,true,48908.75,4,Industrial|Banrural|HSBC
CU-0039,32891228,ahorro,345277.74,2018-05-19,GTQ,true,92344.6,3,Davivienda|Industrial
CU-0040,30493013,corriente,368798.53,2017-04-18,GTQ,false,13943.2,2,G&T Continental|Industrial
CU-0041,59084772,ahorro,216907.82,2007-10-01,GTQ,true,21699.38,0,Davivienda|Banrural
CU-0042,46358251,monetaria,98477.12,2022-04-23,GTQ,true,95519.58,4,Industrial|Banrural
CU-0043,75301591,credito,216144.55,2007-03-03,GTQ,true,35336.94,0,Citibank
CU-0044,73981624,monetaria,70309.64,2023-04-09,MXN,true,41634.54,0,G&T Continental|Davivienda
CU-0045,94618779,monetaria,341870.81,2019-03-30,USD,true,52963.67,2,Citibank|Banistmo|Davivienda
CU-0046,27197789,monetaria,282446.51,2021-03-29,GTQ,true,41700.06,1,Industrial|Banistmo
CU-0047,51948011,credito,393296.47,2015-04-14,GTQ,true,19437.78,1,Industrial|Citibank
CU-0048,89568937,corriente,406567.61,2011-03-05,GTQ,true,1939.73,4,Banistmo
CU-0049,29911932,monetaria,40194.49,2022-01-08,GTQ,true,94714.43,5,Banrural|Industrial
CU-0050,62288069,corriente,395536.43,2012-05-22,USD,true,77775.93,3,Industrial
CU-0051,94969193,ahorro,163270.8,2021-08-24,GTQ,true,95666.76,3,Industrial|Banistmo
CU-0052,96683389,corriente,478841.71,2005-05-26,GTQ,false,88477.17,4,HSBC|Banrural|Industrial
CU-0053,66772934,ahorro,148737.6,2009-02-28,GTQ,false,65163.5,3,Citibank
CU-0054,72403120,corriente,223065.89,2017-02-19,GTQ,true,75846.16,0,Davivienda|G&T Continental
CU-0055,36545674,credito,142023.77,2005-10-06,GTQ,false,5242.35,2,Davivienda|G&T Continental|Banrural
CU-0056,52314652,credito,274838.62,2019-06-24,USD,true,32661.05,0,HSBC|G&T Continental|Davivienda
CU-0057,86306755,ahorro,441571.44,2002-07-04,USD,true,49667.66,0,G&T Continental
CU-0058,23724194,corriente,470031.46,2010-07-17,GTQ,true,35708.1,0,Citibank|Banistmo
CU-0059,19338403,credito,199980.22,2002-10-15,GTQ,true,39599.02,1,Banrural|Banistmo|Davivienda
CU-0060,70196402,corriente,57182.2,2011-09-12,GTQ,false,68352.19,0,Industrial
CU-0061,74249118,ahorro,20609.03,2010-06-08,MXN,true,13767.31,2,Banistmo|Davivienda
CU-0062,95138411,credito,9137.49,2012-12-28,GTQ,true,69712.47,4,BAC
CU-0063,36860242,ahorro,104022.72,2022-01-17,GTQ,true,58158.32,2,G&T Continental|Industrial|Banrural
CU-0064,30435434,ahorro,457557.93,2012-08-15,GTQ,true,38841.98,1,HSBC|G&T Continental|Banrural
CU-0065,53896992,monetaria,196012.54,2012-10-19,GTQ,true,96773.48,5,Banistmo|Banrural|Davivienda
CU-0066,25125464,ahorro,193419.76,2004-10-14,USD,true,20014.26,4,HSBC|Banistmo|Citibank
CU-0067,38768553,monetaria,180149.63,2002-06-09,USD,true,89020.65,2,BAC
CU-0068,51594284,ahorro,107819.99,2008-02-12,EUR,true,94679.51,3,Citibank|Industrial|Banistmo
CU-0069,90773970,corriente,460369.88,2021-07-16,GTQ,true,98678.12,1,Banrural
CU-0070,10036337,ahorro,309448.01,2000-07-02,MXN,true,30344.65,3,G&T Continental|BAC|Banistmo
CU-0071,59398803,corriente,322708.94,2018-12-25,USD,true,27997.87,5,HSBC
CU-0072,14696647,ahorro,150676.08,2011-10-14,GTQ,true,98328.31,1,BAC
CU-0073,73955393,corriente,6679.19,2003-11-11,USD,true,88644.0,5,HSBC|G&T Continental|BAC
CU-0074,85595538,credito,31173.56,2006-11-16,GTQ,true,37742.5,0,Banistmo|Davivienda
CU-0075,72505408,credito,87098.96,2000-08-05,GTQ,false,6301.02,2,HSBC|Citibank|Industrial
CU-0076,37205749,monetaria,11718.64,2012-03-13,MXN,true,68967.52,0,BAC|Banistmo|HSBC
CU-0077,68430949,credito,395877.87,2002-02-13,GTQ,true,36729.72,3,G&T Continental|Davivienda|Citibank
CU-0078,59831321,corriente,160015.97,2015-07-22,GTQ,true,37210.99,2,G&T Continental|Banistmo
CU-0079,76372099,credito,179844.59,2019-05-14,GTQ,true,13764.15,2,Davivienda|Industrial|HSBC
CU-0080,32048771,ahorro,171398.61,2006-07-04,GTQ,true,83201.31,1,G&T Continental|Banistmo|Banrural
CU-0081,63197220,ahorro,411633.41,2005-01-07,MXN,true,51956.88,4,HSBC
CU-0082,83879955,corriente,369725.49,2015-01-08,GTQ,true,83646.88,2,Banistmo|HSBC|Citibank
CU-0083,62720687,corriente,288298.23,2018-04-20,USD,true,22581.48,5,G&T Continental|Banistmo
CU-0084,35277376,ahorro,446538.36,2022-08-18,USD,true,91584.37,5,Industrial|Banistmo
CU-0085,64508486,monetaria,412528.59,2004-05-01,MXN,true,1622.0,2,Industrial
CU-0086,34926126,ahorro,33044.44,2020-04-20,MXN,true,35751.43,3,HSBC
CU-0087,56059442,credito,187145.43,2013-08-17,GTQ,true,47843.95,4,BAC|Citibank|Industrial
CU-0088,14230279,credito,159475.74,2001-05-23,GTQ,true,79783.17,4,Banistmo
CU-0089,88802545,monetaria,474535.72,2021-12-29,MXN,true,96276.83,0,HSBC|Davivienda
CU-0090,22354586,ahorro,122317.45,2004-03-20,GTQ,true,24137.86,3,Citibank
CU-0091,51582474,credito,107885.95,2018-06-02,GTQ,true,59342.91,5,Davivienda
CU-0092,19274392,corriente,231321.58,2017-05-30,USD,true,72433.09,2,Banrural|Citibank|HSBC
CU-0093,75914192,corriente,451082.0,2013-02-27,EUR,false,60112.03,3,G&T Continental
CU-0094,20310693,corriente,240814.17,2011-03-04,GTQ,true,80680.27,1,BAC|G&T Continental
CU-0095,34518599,corriente,169705.24,2022-02-17,GTQ,true,70078.0,0,G&T Continental
CU-0096,28683820,corriente,370048.37,2001-01-22,GTQ,true,69892.12,0,Citibank|Davivienda|HSBC
CU-0097,24271117,credito,236565.83,2012-07-05,GTQ,true,6693.85,0,Citibank|Industrial
CU-0098,63865194,corriente,453261.43,2006-03-03,GTQ,true,57042.06,5,Davivienda
CU-0099,98565173,monetaria,278462.92,2021-06-08,GTQ,true,18551.02,3,BAC
CU-0100,41171838,corriente,73267.31,2005-12-22,USD,true,37185.86,4,Banrural
CU-0101,80405670,monetaria,292579.21,2000-05-25,GTQ,true,31952.92,1,Industrial|Banrural
CU-0102,99125450,credito,238876.86,2009-08-09,GTQ,true,63339.66,4,G&T Continental
CU-0103,99534277,corriente,428851.74,2006-07-10,EUR,false,51338.46,0,G&T Continental|Banrural|Citibank
CU-0104,65500187,monetaria,468773.08,2011-10-10,GTQ,true,4290.89,2,BAC|Banrural
CU-0105,60154780,credito,224639.08,2010-01-29,USD,true,61489.58,4,G&T Continental|Banrural
CU-0106,90393580,monetaria,248315.31,2003-05-14,GTQ,false,6633.4,0,G&T Continental|Banistmo|Citibank
CU-0107,15361803,monetaria,138333.41,2012-08-06,GTQ,true,91711.08,2,Citibank|G&T Continental|Industrial
CU-0108,78644309,credito,192739.97,2006-02-26,GTQ,true,48967.55,2,Banrural|G&T Continental|Citibank
CU-0109,45998754,monetaria,437313.13,2023-01-13,GTQ,true,32416.44,1,Industrial|G&T Continental|Banistmo
CU-0110,35749206,monetaria,258594.72,2018-06-17,GTQ,true,66968.46,1,G&T Continental|Banistmo|Citibank
CU-0111,49596283,corriente,343395.24,2016-03-19,USD,true,20446.45,3,G&T Continental|BAC|Citibank
CU-0112,49119248,corriente,102469.78,2015-02-18,GTQ,true,49695.57,1,Davivienda|Citibank
CU-0113,46338173,credito,268473.01,2006-07-25,GTQ,false,12442.93,3,Banistmo|BAC|Davivienda
CU-0114,35357498,monetaria,463866.76,2020-05-25,MXN,true,82115.82,4,Banistmo|Banrural|G&T Continental
CU-0115,16844169,credito,313870.42,2021-12-16,GTQ,true,38688.47,0,G&T Continental
CU-0116,26497586,monetaria,379942.27,2002-06-11,GTQ,false,10746.16,4,G&T Continental|Banistmo
CU-0117,22870221,credito,102048.82,2002-09-08,GTQ,true,62436.0,2,Banistmo|Banrural
CU-0118,40935620,corriente,308965.11,2011-12-19,MXN,true,23636.23,0,Citibank|Banistmo|Banrural
CU-0119,33064287,credito,101172.18,2000-10-12,MXN,true,74045.61,2,Banrural|BAC
CU-0120,43043458,credito,110097.23,2020-08-11,USD,true,91762.55,2,BAC
CU-0121,42047266,monetaria,217314.24,2017-05-06,GTQ,true,84728.22,3,Davivienda|Industrial|Banrural
CU-0122,61603430,credito,11024.81,2012-03-09,GTQ,true,43665.03,4,Citibank|BAC
CU-0123,76978961,credito,419028.59,2009-03-20,GTQ,true,60095.35,5,Banistmo|Banrural|Industrial
CU-0124,37800640,corriente,156763.0,2018-03-04,GTQ,true,89845.26,3,Davivienda|BAC|Citibank
CU-0125,85606069,corriente,322561.37,2002-11-25,GTQ,true,38886.99,2,Banistmo|BAC
CU-0126,75895196,credito,361951.33,2019-01-10,GTQ,true,22855.68,2,Davivienda|Banrural
CU-0127,32621278,corriente,426750.3,2023-03-14,GTQ,true,84590.25,3,BAC|Banistmo
CU-0128,40679513,ahorro,353405.83,2007-02-14,GTQ,true,5006.51,0,HSBC|Industrial|Banrural
CU-0129,49346304,corriente,429179.38,2012-06-29,EUR,true,40946.44,1,Banrural|Davivienda|BAC
CU-0130,93341780,ahorro,286090.83,2007-11-22,GTQ,true,42326.4,1,BAC
CU-0131,36224131,ahorro,33224.74,2004-07-21,GTQ,true,53395.33,3,Citibank|Davivienda|Banrural
CU-0132,30497544,corriente,122446.09,2000-05-23,GTQ,true,27233.74,0,BAC|Industrial|Banrural
CU-0133,32414530,ahorro,234267.98,2005-12-07,GTQ,true,36719.08,2,Industrial|Davivienda
CU-0134,33507564,ahorro,356571.56,2007-04-09,USD,true,6707.4,3,BAC
CU-0135,48547666,credito,264210.97,2021-12-23,USD,true,54146.9,3,Davivienda|Citibank|HSBC
CU-0136,57504416,credito,375691.45,2023-06-25,MXN,true,85792.68,1,Industrial
CU-0137,19853872,monetaria,420893.98,2005-03-07,USD,true,37594.42,2,Citibank
CU-0138,75393775,corriente,375030.84,2009-09-01,GTQ,true,14717.02,4,G&T Continental|Citibank|Davivienda
CU-0139,63198642,corriente,70728.82,2010-03-09,MXN,true,39923.92,5,Citibank|Banrural
CU-0140,72182980,corriente,207607.91,2002-04-21,GTQ,true,64002.29,0,Citibank|BAC
CU-0141,57050710,credito,454650.71,2019-06-10,GTQ,true,82109.42,4,BAC|Banistmo
CU-0142,74351832,ahorro,175917.46,2008-09-04,GTQ,true,1105.62,0,HSBC
CU-0143,18037892,ahorro,254508.11,2023-05-17,GTQ,true,33404.09,4,Citibank|HSBC
CU-0144,53828083,monetaria,183667.75,2023-03-11,GTQ,true,75849.25,3,BAC|Citibank|HSBC
CU-0145,86014287,ahorro,499321.59,2006-11-17,MXN,true,66061.63,3,HSBC|Banrural|Banistmo
CU-0146,36351536,ahorro,308245.61,2012-05-15,GTQ,false,30291.03,1,Banistmo
CU-0147,86409465,corriente,208503.32,2006-10-20,GTQ,true,99042.63,1,Banrural
CU-0148,31930027,ahorro,132386.6,2021-08-25,USD,true,91513.4,1,Davivienda|BAC|Banistmo
CU-0149,99847647,credito,405750.73,2015-05-17,USD,true,85059.38,2,Citibank|Davivienda|Banistmo
CU-0150,53826526,corriente,333709.81,2023-04-30,USD,true,77829.61,1,BAC
CU-0151,68233497,credito,135730.36,2022-10-28,GTQ,true,99131.29,0,HSBC|Banistmo|G&T Continental
CU-0152,24293758,corriente,277284.55,2009-10-27,EUR,true,90517.47,0,Citibank|Industrial|Davivienda
CU-0153,63667053,credito,283069.72,2013-06-01,GTQ,true,48117.37,5,Citibank
CU-0154,17637396,credito,202665.32,2019-05-21,GTQ,true,3059.55,2,HSBC
CU-0155,41632745,credito,439492.47,2022-01-23,MXN,true,21402.86,3,HSBC
CU-0156,42646566,corriente,167723.7,2014-09-03,GTQ,true,10065.98,0,BAC|Banrural|HSBC
CU-0157,67518016,credito,448238.94,2006-10-24,MXN,false,17757.31,1,Citibank|Davivienda
CU-0158,57949350,ahorro,19735.13,2013-11-23,GTQ,false,58286.35,0,BAC|Banistmo|Banrural
CU-0159,32808207,credito,412007.56,2021-12-30,GTQ,true,61543.51,4,HSBC
CU-0160,28604725,ahorro,230899.45,2011-08-30,GTQ,true,51489.15,3,Industrial|Citibank|G&T Continental
CU-0161,14299495,credito,426004.29,2007-04-21,USD,true,35875.19,4,HSBC|Citibank
CU-0162,63833929,credito,403386.42,2010-07-19,USD,true,66625.54,1,Davivienda
CU-0163,29960983,corriente,17917.22,2002-08-20,GTQ,true,10767.45,3,G&T Continental
CU-0164,19857239,monetaria,385068.54,2014-05-09,GTQ,true,43533.48,0,HSBC|Citibank|Banrural
CU-0165,73515624,ahorro,181786.77,2017-07-12,GTQ,false,3137.95,2,G&T Continental|Banistmo
CU-0166,76789013,credito,328993.89,2017-10-30,USD,true,44961.22,2,Banistmo|Citibank|G&T Continental
CU-0167,86043568,corriente,3223.07,2007-05-13,MXN,true,48689.42,2,BAC
CU-0168,28836248,corriente,256148.6,2022-03-21,MXN,true,72078.44,3,BAC
CU-0169,94763590,monetaria,355538.29,2016-09-24,GTQ,true,77156.8,4,Industrial
CU-0170,29838164,monetaria,340018.03,2022-08-26,GTQ,true,52873.52,4,Industrial|Davivienda|Citibank
CU-0171,15291565,credito,482053.33,2013-01-06,GTQ,true,4451.37,2,Banistmo
CU-0172,89097226,ahorro,236996.04,2018-09-19,MXN,true,60876.05,1,Industrial|Davivienda
CU-0173,45527500,monetaria,445702.35,2001-09-26,USD,true,57956.37,3,BAC|HSBC
CU-0174,40765501,ahorro,110511.37,2020-02-25,GTQ,false,4776.38,0,Banistmo|BAC
CU-0175,77343991,monetaria,384334.88,2002-04-18,GTQ,true,53409.0,4,Banrural|Banistmo
CU-0176,41518806,credito,280157.73,2014-09-27,GTQ,true,1421.14,3,Citibank
CU-0177,96817795,corriente,473262.57,2000-12-04,GTQ,true,73101.66,1,HSBC|Citibank|G&T Continental
CU-0178,65777619,corriente,452930.25,2009-02-25,USD,true,76509.27,2,Banrural|BAC
CU-0179,30880066,ahorro,426441.66,2000-02-24,MXN,false,77033.94,2,Banrural
CU-0180,70571332,monetaria,60280.24,2023-12-24,GTQ,true,66799.84,2,Citibank
CU-0181,22352071,monetaria,87787.47,2008-06-28,GTQ,true,1822.75,4,Banrural
CU-0182,31782481,corriente,170721.64,2023-06-02,USD,true,47869.04,5,BAC|G&T Continental
CU-0183,62248036,credito,51336.48,2022-12-26,USD,true,16752.3,4,Davivienda|Banistmo|HSBC
CU-0184,18979241,corriente,417172.84,2022-03-05,GTQ,true,32221.4,2,BAC
CU-0185,14882771,credito,93634.3,2015-12-11,GTQ,true,37253.74,2,BAC|G&T Continental
CU-0186,72207404,ahorro,66606.85,2004-04-21,GTQ,true,11649.39,1,Davivienda|HSBC
CU-0187,84035112,monetaria,59436.4,2001-06-16,USD,true,24603.76,4,HSBC|BAC
CU-0188,24304153,ahorro,469493.83,2006-02-21,USD,true,99928.07,2,Banistmo|BAC
CU-0189,81264557,monetaria,37093.39,2013-10-31,USD,true,2614.78,2,G&T Continental|Citibank
CU-0190,22492482,corriente,465670.86,2004-06-28,GTQ,true,26419.99,2,Banrural|Davivienda
CU-0191,87364623,corriente,290905.21,2003-07-15,GTQ,true,84146.72,4,Banrural|Banistmo|Citibank
CU-0192,83677009,monetaria,453112.87,2013-05-06,GTQ,true,93078.74,2,Banrural|Citibank
CU-0193,54730279,monetaria,370417.71,2006-02-20,GTQ,true,58830.43,0,BAC|Industrial
CU-0194,58469806,credito,270753.19,2011-11-09,GTQ,true,89502.45,1,Citibank
CU-0195,32599555,corriente,324067.12,2004-08-28,USD,false,21841.79,5,G&T Continental
CU-0196,78408689,corriente,494818.25,2000-03-27,USD,true,57669.08,5,Davivienda
CU-0197,83492765,corriente,29215.52,2009-06-19,USD,true,82502.54,2,G&T Continental|Industrial
CU-0198,89291824,credito,455328.49,2012-11-26,GTQ,true,88956.77,5,HSBC|Citibank
CU-0199,91236074,credito,227.05,2005-02-20,GTQ,true,25293.62,1,G&T Continental|Banistmo|Citibank
CU-0200,87873678,ahorro,483570.77,2011-02-28,GTQ,false,99814.5,5,Banrural
CU-0201,62978256,corriente,482592.56,2012-05-27,MXN,true,65185.3,5,BAC
CU-0202,65479681,ahorro,170349.17,2020-01-20,GTQ,true,78559.75,2,Banistmo|Industrial
CU-0203,98519306,monetaria,221427.59,2009-01-15,EUR,true,38921.1,1,Industrial|Davivienda|Banistmo
CU-0204,46761893,credito,23991.18,2000-02-20,GTQ,true,78139.31,0,Davivienda|HSBC|G&T Continental
CU-0205,37358925,credito,54763.45,2012-11-18,GTQ,true,42615.23,0,Banrural|HSBC
CU-0206,70992435,monetaria,151249.44,2010-01-23,GTQ,true,27561.56,3,HSBC|Banrural
CU-0207,74471524,corriente,218783.71,2005-12-27,GTQ,true,48590.26,1,G&T Continental|BAC|Davivienda
CU-0208,59772507,monetaria,344798.88,2012-03-11,EUR,true,31021.72,3,Banrural
CU-0209,86122371,ahorro,120233.5,2012-09-07,GTQ,true,95767.9,4,G&T Continental|Citibank|Industrial
CU-0210,80910956,ahorro,74122.7,2000-11-16,GTQ,true,55387.24,4,BAC|Industrial
CU-0211,35960277,corriente,53787.35,2013-09-28,USD,true,69602.69,2,Industrial|Citibank|Davivienda
CU-0212,99903903,monetaria,47593.01,2021-03-01,USD,true,32471.51,2,Davivienda|Banistmo
CU-0213,42368904,monetaria,246321.85,2019-04-29,MXN,false,7626.83,4,Industrial
CU-0214,65127958,ahorro,102082.16,2018-07-01,GTQ,true,10261.52,4,G&T Continental|Banrural
CU-0215,38794231,corriente,185123.93,2001-08-22,GTQ,true,40913.82,2,Davivienda|Banrural|BAC
CU-0216,55743318,corriente,305692.9,2004-03-12,USD,true,53689.11,5,BAC
CU-0217,73889311,monetaria,270308.11,2000-04-14,MXN,true,99225.7,3,Banrural|BAC
CU-0218,77605530,corriente,462367.94,2012-06-15,GTQ,true,93465.48,3,G&T Continental|BAC|Citibank
CU-0219,23087728,ahorro,333482.95,2008-08-20,GTQ,true,73747.5,5,Industrial
CU-0220,38061024,corriente,65880.4,2020-09-02,GTQ,true,61864.62,0,Industrial
CU-0221,59209911,monetaria,417290.57,2019-05-15,GTQ,false,90115.65,3,BAC|Banrural
CU-0222,60269323,ahorro,266281.35,2018-11-09,GTQ,true,21178.52,1,Banrural|Industrial
CU-0223,40770370,corriente,132703.12,2023-05-03,USD,true,53086.58,4,Citibank|Industrial|Banrural
CU-0224,89761514,corriente,476785.86,2019-01-22,GTQ,true,44507.58,2,Industrial|Citibank
CU-0225,12688078,corriente,202610.99,2016-11-04,USD,true,9102.47,4,G&T Continental
CU-0226,17219866,corriente,368370.29,2023-12-07,MXN,true,47932.17,5,G&T Continental|BAC|HSBC
CU-0227,34131353,corriente,399370.92,2010-10-15,MXN,true,60690.14,0,Banrural
CU-0228,55514836,ahorro,129458.94,2014-11-23,GTQ,true,4401.86,3,G&T Continental
CU-0229,39596058,ahorro,258736.51,2019-11-04,GTQ,true,54672.63,5,Davivienda|Banrural
CU-0230,47085870,monetaria,14495.04,2000-07-07,USD,true,69088.35,5,Banrural
CU-0231,53284762,corriente,378658.04,2003-08-21,GTQ,true,95308.87,0,Citibank|BAC
CU-0232,94670720,ahorro,359472.32,2015-11-07,GTQ,true,79468.96,4,HSBC|Banistmo|G&T Continental
CU-0233,45004529,corriente,42062.74,2006-08-20,USD,true,47677.83,3,Banrural|Davivienda|Banistmo
CU-0234,48785862,ahorro,156713.87,2021-01-12,GTQ,true,2625.14,4,BAC
CU-0235,98857117,monetaria,442839.28,2016-12-13,GTQ,true,36146.67,4,G&T Continental|Industrial
CU-0236,60696877,ahorro,117518.79,2006-09-11,USD,true,99066.75,2,BAC|G&T Continental|Banistmo
CU-0237,32848643,credito,364664.64,2001-10-07,USD,false,20791.65,3,Davivienda|HSBC|G&T Continental
CU-0238,12280944,corriente,62446.22,2002-09-21,GTQ,false,12241.05,3,Banrural|HSBC
CU-0239,81040051,ahorro,130434.72,2011-08-08,MXN,true,54747.77,3,Industrial|HSBC
CU-0240,36018939,credito,358949.79,2008-06-02,GTQ,false,26779.94,1,Banrural|Davivienda|Citibank
CU-0241,63698183,monetaria,362857.8,2023-05-27,GTQ,true,73055.18,3,G&T Continental|BAC
CU-0242,42576819,credito,378117.97,2005-11-08,GTQ,true,52832.1,1,HSBC
CU-0243,43802725,ahorro,230713.62,2001-10-30,USD,true,98220.84,3,Citibank
CU-0244,60152461,monetaria,433069.86,2001-11-24,GTQ,true,72112.41,2,G&T Continental|Davivienda
CU-0245,35725787,ahorro,334166.52,2021-01-27,GTQ,true,27978.76,2,BAC|Banistmo|Banrural
CU-0246,24625059,monetaria,120342.42,2022-06-21,GTQ,true,27543.32,5,Davivienda
CU-0247,91885596,ahorro,336675.73,2015-04-01,GTQ,true,5752.34,2,Industrial
CU-0248,39008943,corriente,484850.81,2015-12-05,GTQ,true,58712.16,5,Banistmo
CU-0249,39780071,corriente,402876.97,2004-01-15,GTQ,true,52621.14,5,BAC
CU-0250,91397212,corriente,120168.71,2004-02-06,USD,true,21678.23,3,Citibank|Banrural|BAC
CU-0251,64579226,ahorro,361542.09,2003-10-06,MXN,true,50488.64,2,Banrural|Industrial
CU-0252,77200602,credito,389346.13,2023-07-11,EUR,false,18482.88,0,Banrural
CU-0253,54907705,credito,55563.32,2005-09-26,USD,true,1312.02,5,Citibank|Industrial
CU-0254,95474336,credito,131575.52,2012-09-21,USD,true,96036.86,3,Industrial
CU-0255,62581326,monetaria,304676.18,2015-07-06,GTQ,false,31122.79,0,HSBC
CU-0256,24610423,monetaria,112534.97,2017-10-22,GTQ,true,2637.61,1,Industrial|Banrural
CU-0257,31163196,corriente,303087.45,2022-09-09,GTQ,true,27501.97,2,Banrural|BAC
CU-0258,44245294,ahorro,347556.25,2013-03-09,GTQ,true,94066.77,0,BAC|Banistmo
CU-0259,55297384,corriente,245933.95,2017-09-27,GTQ,true,74375.71,4,Banrural|BAC|Citibank
CU-0260,27285424,credito,390043.53,2000-10-21,MXN,true,87482.91,0,Industrial|G&T Continental|Davivienda
CU-0261,63395880,ahorro,408995.24,2001-03-22,GTQ,true,7267.94,5,Banrural
CU-0262,33556305,corriente,126640.47,2015-04-11,GTQ,true,50907.58,1,Banrural|Industrial
CU-0263,94071070,credito,211949.02,2006-05-25,USD,true,83139.15,2,BAC|Davivienda|Banrural
CU-0264,50803020,ahorro,396802.59,2020-01-26,USD,true,23742.57,5,G&T Continental|Industrial|BAC
CU-0265,38448890,corriente,322390.36,2005-07-26,GTQ,true,45153.39,5,BAC
CU-0266,78102004,monetaria,496591.85,2002-11-28,USD,true,18177.8,0,Davivienda|G&T Continental|HSBC
CU-0267,32226595,credito,377987.47,2018-11-15,USD,true,37586.8,5,Davivienda|BAC
CU-0268,80090164,monetaria,72163.11,2016-06-04,GTQ,true,56876.12,1,Banrural|G&T Continental
CU-0269,12855262,monetaria,284525.51,2008-09-20,MXN,true,10835.49,1,G&T Continental|Banistmo
CU-0270,67696791,credito,281739.53,2002-06-16,GTQ,true,99002.26,3,Banistmo
CU-0271,95931487,ahorro,228319.34,2018-09-26,MXN,false,44198.93,5,HSBC
CU-0272,85384682,corriente,259756.89,2009-11-19,GTQ,true,90786.0,5,G&T Continental
CU-0273,98215833,ahorro,417903.61,2012-10-08,USD,true,96002.05,5,G&T Continental
CU-0274,86003182,credito,170340.53,2006-08-09,GTQ,true,54450.04,1,HSBC|BAC
CU-0275,83902153,credito,286243.1,2015-06-18,GTQ,false,82921.47,0,Davivienda|Banistmo|Industrial
