clienteId,nombre,apellido,email,telefono,fechaNacimiento,activo,nivelRiesgo,etiquetasRiesgo,ingresoMensual
CL-0062,Elvia,Mercado,elias93@example.com,(794)229-9843x0,1987-11-11,true,bajo,alto_volumen|viajero_frecuente|cliente_vip,56219.06
CL-0063,Cristian,Sauceda,ana96@example.net,385.293.1024x87,1981-02-09,true,bajo,historial_fraude|viajero_frecuente|empresa,44750.54
CL-0064,Gonzalo,Alba,benitozamora@example.net,1-638-951-6279,1980-11-06,true,bajo,historial_fraude,51748.32
CL-0065,Timoteo,Pantoja,blancamelendez@example.com,03091885867,1961-10-07,true,bajo,cliente_vip|historial_fraude,72853.51
CL-0066,Elsa,Rojas,lballesteros@example.net,682.929.2532x36,1964-07-15,true,bajo,empresa|nuevo_usuario|historial_fraude,29680.81
CL-0067,Esther,Cintrón,chavarriamariana@example.com,1-704-370-5462,1964-01-10,true,medio,alto_volumen|empresa|cliente_vip,11888.57
CL-0068,Alejandra,de Anda,bonillakarina@example.com,851.682.4350,1999-12-16,false,bajo,nuevo_usuario|alto_volumen|cliente_vip,3776.8
CL-0069,María del Carmen,Orozco,rrincon@example.org,259-264-0417x38,1965-09-04,true,alto,empresa|alto_volumen,89656.83
CL-0070,Rosalia,Velázquez,martha69@example.com,(366)007-5288x3,1980-04-19,true,bajo,,62521.17
CL-0071,Yeni,Colunga,patricia14@example.com,(319)955-9870x1,1973-02-17,true,bajo,historial_fraude,78918.81
CL-0072,Homero,Garay,maria-elena20@example.com,(923)260-7714,1959-05-06,true,medio,alto_volumen|cliente_vip,92809.95
CL-0073,Itzel,Olvera,ulibarrigenaro@example.net,917-415-1884x70,2000-06-18,false,bajo,viajero_frecuente|empresa|cliente_vip,12330.29
CL-0074,Micaela,Moreno,dguillen@example.com,05298069367,1964-02-02,true,medio,nuevo_usuario,71400.01
CL-0075,Josefina,Robledo,xaguilar@example.org,1-453-208-9796,1982-08-19,true,medio,empresa|viajero_frecuente|alto_volumen,15501.7
CL-0076,Mateo,Jaimes,ojedaalonso@example.org,035.996.9981x21,1992-06-30,true,medio,historial_fraude|viajero_frecuente|alto_volumen,51492.23
CL-0077,Margarita,Cortez,calderonernesto@example.net,685.830.4137x18,1982-05-10,true,bajo,empresa|historial_fraude,26054.23
CL-0078,Reina,Mora,lsuarez@example.net,465-967-0282x11,1987-02-02,true,medio,alto_volumen|empresa|historial_fraude,90010.4
CL-0079,Inés,Prado,floresemilio@example.org,1-244-267-7725,1963-01-23,true,critico,viajero_frecuente|historial_fraude,72327.32
CL-0080,María,Dávila,socorrozamudio@example.com,693-459-6285,1957-08-10,true,bajo,,41361.79
CL-0081,Miriam,Solorzano,alberto84@example.com,01230166237,1963-07-18,true,medio,viajero_frecuente|historial_fraude|empresa,7665.36
CL-0082,Sofía,Ramón,urrutiaeva@example.com,(582)402-6204x6,1999-09-01,true,medio,historial_fraude|empresa,72712.0
CL-0083,Humberto,Treviño,aureliolucio@example.com,411-836-4952x03,1997-05-08,true,bajo,viajero_frecuente|nuevo_usuario,16392.46
CL-0084,Isabela,Verduzco,anel50@example.org,00354088678,1989-09-01,true,bajo,cliente_vip,88992.14
CL-0085,Linda,Rodríguez,patricia88@example.net,1-479-540-2130x,1953-04-26,true,medio,alto_volumen|nuevo_usuario|viajero_frecuente,40219.37
CL-0086,Inés,Regalado,rebeca91@example.com,1-916-471-8854,1998-07-08,true,medio,cliente_vip,11096.32
CL-0087,Rufino,Parra,humbertooquendo@example.org,209-833-0704,1952-02-07,false,bajo,empresa|alto_volumen,80066.67
CL-0088,Fernando,Rael,vvaldes@example.com,005.207.1491x87,1987-12-05,true,bajo,nuevo_usuario,12823.31
CL-0089,Micaela,Noriega,emilia62@example.com,+47(0)914749912,1981-10-20,true,bajo,nuevo_usuario|cliente_vip,76142.87
CL-0090,Jacinto,Durán,tomasmesa@example.org,(106)310-1747x7,1990-08-27,true,alto,nuevo_usuario|cliente_vip|viajero_frecuente,25137.54
CL-0091,Victoria,Sauceda,salma72@example.com,1-795-008-2757,1976-11-04,true,medio,nuevo_usuario,78909.35
CL-0092,Antonio,Guerra,deliatapia@example.org,766-944-4922x25,1983-11-19,true,medio,empresa,26268.07
CL-0093,Teresa,Contreras,oaguilar@example.net,075-245-9674x73,1990-10-04,true,bajo,nuevo_usuario,71740.76
CL-0094,Marco Antonio,Escobar,oteran@example.org,1-410-262-2760x,1958-04-11,true,medio,,89073.91
CL-0095,Alvaro,Zamora,emiliano80@example.com,744.811.5537x67,2002-10-10,true,bajo,viajero_frecuente|nuevo_usuario|historial_fraude,78324.82
CL-0096,Felipe,Espinoza,padronangela@example.com,(600)061-6117x0,1993-12-02,true,alto,empresa|historial_fraude|cliente_vip,42858.39
CL-0097,Hermelinda,Reynoso,camilaquintana@example.org,917-250-4136x59,1991-01-24,true,bajo,historial_fraude,71043.42
CL-0098,Marcos,Aparicio,georginacarranza@example.org,00679909564,1969-01-28,true,alto,,5195.52
CL-0099,Eduardo,Anguiano,delgadillomario@example.com,1-587-379-6723,1986-08-29,true,bajo,viajero_frecuente|cliente_vip,38219.42
CL-0100,Diego,Melgar,corralesmeralda@example.org,1-765-243-3134,1983-04-30,true,bajo,viajero_frecuente,38697.06
CL-0101,Alonso,Camacho,zoemontalvo@example.org,1-253-507-4845,1962-10-26,true,bajo,,59783.18
CL-0102,Mario,Rivero,kcalvillo@example.com,(965)822-5100,1966-06-05,true,bajo,nuevo_usuario|alto_volumen,49901.78
CL-0103,Rubén,Villagómez,nevarezamalia@example.net,+94(4)105627931,1987-06-19,true,bajo,viajero_frecuente|empresa,32350.78
CL-0104,Rosario,Carrero,lucas47@example.org,749.980.9082x31,1961-11-30,true,bajo,historial_fraude|empresa,51466.86
CL-0105,Fabiola,Lira,adan59@example.net,381-077-6977x91,1979-03-06,true,bajo,empresa|historial_fraude|alto_volumen,63227.5
CL-0106,Julio César,Portillo,zamoraeugenio@example.org,976-009-0882x38,1998-07-15,false,medio,alto_volumen|historial_fraude|nuevo_usuario,67703.5
CL-0107,Linda,Cordero,banuelosluisa@example.org,(994)075-0135,1964-11-09,true,bajo,empresa|viajero_frecuente,58055.49
CL-0108,Jos,Balderas,corneliocastaneda@example.org,1-879-744-6185x,2000-03-07,true,medio,cliente_vip|viajero_frecuente,95606.5
CL-0109,Cornelio,Abrego,bernalana-luisa@example.com,1-072-759-1931x,2001-02-27,true,bajo,,75554.74
CL-0110,Luz,Viera,apariciofrancisco-javier@example.com,00819930937,1960-10-16,true,bajo,,54122.22
CL-0111,Jos,Alarcón,jorge-luissamaniego@example.com,+15(2)015329954,2001-12-29,true,critico,alto_volumen|empresa,81078.26
CL-0112,Leticia,Armas,vteran@example.net,(924)859-4559x1,1952-02-02,true,medio,cliente_vip|viajero_frecuente|historial_fraude,19689.78
CL-0113,Jonás,Maestas,roldannadia@example.net,1-077-620-1290,1958-03-02,true,bajo,historial_fraude|nuevo_usuario,11734.7
CL-0114,Agustín,Menéndez,erivera@example.com,+18(9)286156841,1972-12-05,true,bajo,alto_volumen,17114.28
CL-0115,Anabel,Rangel,dulce18@example.com,(968)568-2287,1979-03-09,true,critico,viajero_frecuente,71903.46
CL-0116,Anabel,Gurule,jeronimolovato@example.net,400-403-6549x08,1978-09-18,true,bajo,,89515.08
CL-0117,Jonás,Escobedo,alicia07@example.org,1-462-900-2296x,1954-08-27,true,bajo,,75709.11
CL-0118,Conchita,Muñiz,isabelagaribay@example.com,(034)276-5195x1,1960-04-28,true,bajo,cliente_vip|empresa|historial_fraude,33196.97
CL-0119,Esmeralda,Rosario,javier54@example.com,702-966-8388x89,1993-06-09,false,bajo,,64087.05
CL-0120,Germán,Orellana,dulce-maria92@example.net,(567)711-6861x3,1974-02-23,true,alto,,59444.92
CL-0121,Ofelia,Cordero,lmaya@example.com,971.679.8033x67,2000-12-24,true,bajo,nuevo_usuario,10223.02
CL-0122,Adriana,Beltrán,maytecepeda@example.net,(537)828-7153x4,1983-06-29,true,medio,alto_volumen,18482.46
CL-0123,Rosa,Barajas,wcarrasco@example.org,604.494.7986x05,1950-02-02,true,bajo,cliente_vip|historial_fraude|viajero_frecuente,96189.22
CL-0124,Elvia,Galván,gaytancamilo@example.org,(460)472-5818,1955-05-26,true,medio,viajero_frecuente,49254.25
CL-0125,José,Corral,marisolpuente@example.org,189-996-9245x22,1954-01-30,true,bajo,nuevo_usuario|alto_volumen|empresa,54340.75
CL-0126,Benjamín,Caraballo,flavioperales@example.org,811.518.0319,1985-06-19,true,bajo,,83388.81
CL-0127,Renato,Sauceda,pcasanova@example.net,(982)739-0944x5,1995-04-16,true,medio,historial_fraude|alto_volumen,33193.79
CL-0128,José Emilio,Esquibel,ramossoledad@example.net,08227457231,1990-08-13,true,medio,empresa|nuevo_usuario,66903.15
CL-0129,Virginia,Matos,berta47@example.net,555-772-5656,2003-10-14,true,bajo,historial_fraude,91573.79
CL-0130,Humberto,Mojica,agonzales@example.net,123-647-3626,1992-10-01,false,bajo,,2938.7
CL-0131,Rosario,Polanco,abel64@example.net,337-287-8963x61,1956-12-15,true,bajo,historial_fraude|cliente_vip|viajero_frecuente,89472.07
CL-0132,Patricio,Palacios,luciogabriela@example.net,(851)638-7394x9,1983-10-08,true,medio,empresa|viajero_frecuente|nuevo_usuario,37080.64
CL-0133,Omar,Rodríguez,qnunez@example.com,(303)768-7120x9,1961-03-12,true,bajo,,93752.29
CL-0134,José Eduardo,Valles,luis-miguel02@example.com,(215)679-1441,1951-10-11,true,bajo,empresa,68694.33
CL-0135,Eugenio,Moreno,rodriguezmaria-luisa@example.com,1-309-814-6226,1977-03-14,true,medio,viajero_frecuente,23672.47
CL-0136,Lucía,Arenas,jnegrete@example.com,1-067-517-0237x,1994-03-20,true,critico,viajero_frecuente|nuevo_usuario,71282.86
CL-0137,Wilfrido,Regalado,camarillomagdalena@example.com,(912)574-5080x5,1985-07-14,true,bajo,empresa,29180.06
CL-0138,Estela,López,margarita62@example.net,922.841.5878x62,1967-05-21,true,bajo,cliente_vip,57439.29
CL-0139,Helena,Palomo,ksotelo@example.org,085.770.4497,2002-10-07,true,medio,viajero_frecuente,8374.83
CL-0140,Andrea,Jáquez,martinrenteria@example.com,556-999-5367x29,1974-08-12,true,bajo,cliente_vip,68441.91
CL-0141,Elvira,Gollum,carlosnoriega@example.com,940-992-6658x11,1990-09-22,false,critico,empresa|cliente_vip,43857.22
CL-0142,Leonor,Galván,aamador@example.org,(956)153-8871x0,1978-12-24,true,medio,,99520.43
CL-0143,Cornelio,Zaragoza,telloteresa@example.org,1-255-281-9043,1970-02-22,false,bajo,historial_fraude|nuevo_usuario|viajero_frecuente,92002.37
CL-0144,Mariano,Serrano,alarconraquel@example.net,(936)815-0911,1967-06-17,true,bajo,viajero_frecuente|historial_fraude,88249.65
CL-0145,Javier,Jaime,fcollazo@example.org,786-484-3391,1988-01-09,true,medio,empresa,91865.53
CL-0146,Cristina,Posada,pedroarevalo@example.com,021-293-7155x25,1958-09-05,false,bajo,nuevo_usuario|viajero_frecuente,44331.0
CL-0147,Fidel,Moreno,felixmaya@example.org,240.209.1986,1959-09-04,true,bajo,nuevo_usuario|alto_volumen,95962.66
CL-0148,Carolina,Rael,darroyo@example.org,1-075-187-3875x,1956-07-17,true,medio,cliente_vip|alto_volumen,62717.52
CL-0149,Agustín,Hidalgo,francisco-javier29@example.net,284-158-1926x07,1955-06-12,true,medio,cliente_vip|viajero_frecuente|empresa,38984.72
CL-0150,Julio César,Gaitán,qcasanova@example.com,(600)111-9530x5,1961-06-11,true,alto,,80633.94
CL-0151,Mauricio,Badillo,salcedoantonia@example.org,921-954-7817x14,2000-03-04,true,bajo,viajero_frecuente|empresa|cliente_vip,85293.07
CL-0152,Ivonne,Gracia,garciajaqueline@example.net,+73(8)393816065,1990-09-05,true,bajo,alto_volumen|cliente_vip|viajero_frecuente,79926.14
CL-0153,Luz,Adame,zeferinotrejo@example.com,(656)548-5821,1980-06-20,true,alto,,68226.06
CL-0154,Martín,Casillas,rosasanabel@example.org,(472)524-8443,1959-09-10,true,bajo,cliente_vip|alto_volumen,60327.16
CL-0155,Fabiola,Aranda,asuncion01@example.com,+15(8)348688670,1961-04-21,true,bajo,cliente_vip,27116.04
CL-0156,Margarita,Carrillo,danielafajardo@example.net,(619)063-5239,1953-12-15,true,bajo,alto_volumen|empresa|cliente_vip,32543.35
CL-0157,Jesús,Maldonado,andres60@example.com,170-608-3703x30,1998-07-20,true,bajo,nuevo_usuario|cliente_vip,16446.09
CL-0158,Nadia,Sarabia,graciela91@example.com,321.526.6183,1950-09-22,true,bajo,nuevo_usuario|empresa,66452.33
CL-0159,Ana Luisa,Paz,jose-luis43@example.org,098.886.1138,2000-03-11,true,bajo,cliente_vip,43361.99
CL-0160,Graciela,Villagómez,gtoledo@example.org,05968481617,1968-01-21,true,bajo,empresa,35472.09
CL-0161,Santiago,Meléndez,acarrion@example.net,1-467-308-4497,1976-11-18,true,medio,cliente_vip|nuevo_usuario|empresa,17903.44
CL-0162,Ernesto,Badillo,virginia10@example.org,478-696-2660x75,1994-06-29,true,bajo,,2362.31
CL-0163,Salvador,Escamilla,arandamaria-luisa@example.net,666.215.1869,1969-02-14,true,bajo,historial_fraude,73989.45
CL-0164,Clemente,Burgos,eliasalejandro@example.net,+35(0)308633322,1968-06-02,true,critico,empresa|historial_fraude,82956.26
CL-0165,Israel,Cedillo,garicawilfrido@example.com,216-552-1002,1956-08-13,true,bajo,,56359.78
CL-0166,Claudia,Ibarra,hernandezzeferino@example.net,906-408-1513,1953-12-09,true,bajo,alto_volumen|cliente_vip|nuevo_usuario,21514.04
CL-0167,Víctor,Leiva,raelana-luisa@example.com,05697846914,1965-08-20,true,bajo,nuevo_usuario,56341.49
CL-0168,Pedro,Valdivia,wilfridoulloa@example.net,02840294092,1965-10-18,true,bajo,,91243.6
CL-0169,Micaela,Alva,omar15@example.com,(962)178-8131x0,1959-12-16,true,bajo,historial_fraude,22603.26
CL-0170,Teresa,Cano,idel-rio@example.net,+94(4)439036898,1997-04-10,true,bajo,nuevo_usuario|alto_volumen,99774.1
CL-0171,Alfredo,Posada,mauromireles@example.org,517.027.2686,1960-08-18,true,alto,,92567.24
CL-0172,Benjamín,Lomeli,ojedasamuel@example.com,1-770-185-8377,1983-12-06,true,medio,cliente_vip,33159.26
CL-0173,Anabel,Cortez,almaquinonez@example.net,641-030-7680,2002-09-10,true,bajo,viajero_frecuente,54475.9
CL-0174,Amelia,Hernandes,ana-luisaolivares@example.org,032-377-7730x16,1975-02-16,true,medio,alto_volumen|viajero_frecuente,85447.26
CL-0175,Ana Luisa,Olmos,zacariaslozano@example.org,933.970.9684,1955-10-27,true,critico,alto_volumen|viajero_frecuente|historial_fraude,40035.35
CL-0176,Perla,Palacios,aroybal@example.org,(437)183-9998x3,1991-08-27,true,alto,historial_fraude|cliente_vip,71823.71
CL-0177,Jerónimo,Navarrete,jesus49@example.org,576-382-0944x48,1974-01-27,true,bajo,empresa|historial_fraude|cliente_vip,64534.35
CL-0178,Diana,Cabrera,dfierro@example.org,1-648-568-9647,1968-08-03,true,medio,,21894.05
CL-0179,Frida,Jaime,gabino30@example.com,1-624-539-3755x,1983-10-31,true,alto,alto_volumen|nuevo_usuario|historial_fraude,93678.89
CL-0180,Gabriel,Mares,ernestoorosco@example.com,735-167-1046x63,1962-01-19,true,bajo,,30914.71
CL-0181,Elvira,Ávalos,valtamirano@example.org,1-316-633-2915x,1953-09-10,true,bajo,cliente_vip,62870.33
CL-0182,Virginia,Griego,jcotto@example.org,1-109-623-7217x,1994-08-21,true,bajo,historial_fraude|empresa|nuevo_usuario,39472.35
CL-0183,Serafín,Godínez,pamelalongoria@example.net,916.484.0582x56,1956-10-22,true,bajo,nuevo_usuario,10077.01
CL-0184,Porfirio,Perales,camilo98@example.net,(513)733-3120,1974-10-19,true,medio,,11644.09
CL-0185,Marcela,Martínez,indira34@example.org,129.831.1282,1998-12-27,true,bajo,,21271.34
CL-0186,Diana,Irizarry,hnevarez@example.com,(676)159-5383,1967-02-07,true,bajo,empresa|nuevo_usuario,99803.58
CL-0187,Francisco,Laboy,vborrego@example.com,1-248-090-9890,1975-04-15,true,critico,viajero_frecuente|nuevo_usuario,78746.57
CL-0188,Sandra,Mejía,montezadalberto@example.org,049.716.4065,1995-12-29,true,bajo,cliente_vip|viajero_frecuente|historial_fraude,95245.91
CL-0189,Magdalena,Benítez,maria-jose76@example.org,(722)687-2877x6,1968-10-30,true,alto,alto_volumen,52550.88
CL-0190,Beatriz,Preciado,melendezgeronimo@example.com,(702)309-0370x5,1957-09-14,true,medio,empresa|historial_fraude|nuevo_usuario,20408.96
CL-0191,Georgina,Ibarra,tfernandez@example.net,08260907004,2000-02-07,false,medio,alto_volumen|historial_fraude|cliente_vip,15617.12
CL-0192,Modesto,Palacios,iaguirre@example.org,973-467-5166,1994-11-03,true,alto,empresa|viajero_frecuente,83761.29
CL-0193,María Cristina,Cintrón,chapasoledad@example.net,147.369.5451,1979-04-03,true,bajo,historial_fraude|empresa|nuevo_usuario,57622.59
CL-0194,Débora,Reynoso,duenasalma@example.org,004.404.8916x63,1979-08-18,true,bajo,alto_volumen,80316.29
CL-0195,Cornelio,Carranza,porraslourdes@example.com,771.498.5528,1955-09-19,true,alto,historial_fraude|alto_volumen|empresa,20457.19
CL-0196,Esperanza,Alvarado,almonteflavio@example.net,113.500.4368x31,1965-05-19,true,bajo,empresa|nuevo_usuario|viajero_frecuente,56184.86
CL-0197,Dalia,Villanueva,zsuarez@example.org,1-220-576-8099,1956-03-27,true,bajo,viajero_frecuente|alto_volumen|cliente_vip,39817.62
CL-0198,Evelio,Brito,robertoceja@example.org,(590)565-8547,1956-04-12,true,bajo,empresa|cliente_vip,38127.92
CL-0199,Sessa,Montaño,martin16@example.com,111.365.9747x75,1964-02-02,true,bajo,historial_fraude|empresa,14655.49
CL-0200,Eugenia,Jiménez,espartasaenz@example.com,802-308-2393,1984-11-24,true,bajo,,86838.55
CL-0201,Dulce María,Aponte,sonia31@example.net,120-742-8526x47,1988-10-10,true,bajo,nuevo_usuario,67149.68
CL-0202,Mario,Vargas,dulce-maria34@example.com,1-470-398-8522,1995-01-30,true,bajo,cliente_vip|alto_volumen,46977.73
CL-0203,Dalia,Montemayor,juanaarteaga@example.org,1-142-269-9673x,1955-09-28,true,bajo,historial_fraude,61275.16
CL-0204,Mateo,Lemus,cejaalejandra@example.org,+05(2)851999500,1991-04-15,true,bajo,cliente_vip|historial_fraude,5830.31
CL-0205,Isaac,Portillo,antoniorosales@example.net,428-823-0438,1965-09-17,true,bajo,nuevo_usuario|empresa|historial_fraude,19598.65
CL-0206,Miguel,Concepción,ornelasdaniela@example.org,120.836.8979,2001-01-05,true,medio,historial_fraude|empresa|alto_volumen,70467.19
CL-0207,Eva,Farías,tponce@example.org,+02(8)213186064,1998-03-30,true,bajo,nuevo_usuario,91797.04
CL-0208,Noelia,Arreola,tafoyahector@example.net,(286)439-8013x9,1986-11-24,true,medio,historial_fraude,56176.74
CL-0209,Nayeli,Vera,umesa@example.org,+40(7)905544572,1959-06-10,true,critico,,78392.04
CL-0210,Felipe,Santiago,nmadera@example.com,781.307.5845x78,1968-08-09,true,bajo,nuevo_usuario,47292.41
CL-0211,Silvia,Bustos,uvasquez@example.com,630-051-5353,1967-06-11,true,bajo,historial_fraude|nuevo_usuario|empresa,3052.26
CL-0212,Estela,Cordero,rocionajera@example.org,107.430.3052,1991-08-26,true,bajo,nuevo_usuario,8687.24
CL-0213,Elias,Carmona,jcollazo@example.com,(781)969-5250x0,1989-04-09,true,bajo,empresa,82401.82
CL-0214,Indira,Zavala,xabreu@example.com,273-032-3660,1959-01-07,true,medio,viajero_frecuente,14166.84
CL-0215,Graciela,Garrido,rendonrenato@example.com,337.794.6042,1951-01-03,true,medio,viajero_frecuente,17042.65
